"Início dos relatórios","Término dos relatórios","Nome do anúncio","Veiculação do anúncio","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Visualizações,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,"Classificação de qualidade","Classificação da taxa de engajamento","Classificação da taxa de conversão",Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)"
2025-03-20,2025-04-07,"REEL 01 - CERIMÔNIA",not_delivering,"Clique de 7 dias ou visualização de 1 dia",6722,video_thruplay_watched_actions,19889,36502,1.636633,0.021687,10,Diário,145.78,Contínuo,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Acima da média",32551,4.478511,66,2.208788,0.202759,315,0.967712,0.462794
2025-03-20,2025-04-07,"REEL 02 - CALOR",not_delivering,"Clique de 7 dias ou visualização de 1 dia",1080,video_thruplay_watched_actions,4805,6910,1.309261,0.03626852,10,Diário,39.17,Contínuo,"Abaixo da média – 35% mais baixos dos anúncios","Na média","Na média",6291,6.226355,26,1.506538,0.413289,69,1.096805,0.567681
2025-03-20,2025-04-07,"REEL 03 - CONHEÇA A LOJA",inactive,"Clique de 7 dias ou visualização de 1 dia",115,video_thruplay_watched_actions,512,622,1.105469,0.022,10,Diário,2.53,Contínuo,–,–,–,566,4.469965,2,1.265,0.353357,7,1.236749,0.361429
