"Início dos relatórios","Término dos relatórios","Nome do conjunto de anúncios","Veiculação do conjunto de anúncios","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Visualizações,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,Início,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)"
2025-04-08,2025-04-20,"VENDAS | PÚBLICO QUENTE",inactive,—,,,0,0,0,,"Usando orçamento da campanha",0,0,2025-04-19,2025-04-08,0,0,,,,0,0,0
2025-04-08,2025-04-20,"VENDAS | PÚBLICO ENGAJADO",recently_completed,"Clique de 7 dias ou visualização de 1 dia",17,actions:onsite_conversion.messaging_conversation_started_7d,4251,9715,1.913432,4.36176471,"Usando orçamento da campanha",0,74.15,2025-04-19,2025-04-08,8134,9.116056,43,1.724419,0.528645,308,3.786575,0.240747
2025-04-08,2025-04-20,"VENDAS | PÚBLICO LOOK A LIKE",recently_completed,"Clique de 7 dias ou visualização de 1 dia",83,actions:onsite_conversion.messaging_conversation_started_7d,12889,35583,2.268058,2.73590361,"Usando orçamento da campanha",0,227.08,2025-04-19,2025-04-08,29233,7.767934,174,1.305057,0.595218,732,2.504019,0.310219
